03:21:09 total=1.8 bench=1.0 foreign=0.8
03:21:14 total=1.6 bench=1.0 foreign=0.6
03:21:19 total=36.3 bench=36.5 foreign=0.0
03:21:24 total=93.8 bench=93.2 foreign=0.6
03:21:29 total=93.5 bench=92.9 foreign=0.7
03:21:34 total=46.4 bench=45.3 foreign=1.0
03:21:39 total=1.6 bench=1.0 foreign=0.6
03:21:44 total=1.7 bench=1.0 foreign=0.6
03:21:49 total=61.1 bench=61.2 foreign=0.0
03:21:54 total=13.1 bench=11.9 foreign=1.1
03:21:59 total=31.7 bench=31.2 foreign=0.5
03:22:04 total=1.7 bench=1.0 foreign=0.7
03:22:09 total=1.8 bench=1.0 foreign=0.7
03:22:14 total=1.8 bench=1.0 foreign=0.8
03:22:19 total=3.0 bench=2.1 foreign=0.9
03:22:24 total=40.7 bench=40.7 foreign=0.0
03:22:29 total=46.6 bench=45.2 foreign=1.4
03:22:34 total=36.3 bench=36.2 foreign=0.2
03:22:39 total=45.5 bench=44.4 foreign=1.1
03:22:44 total=28.5 bench=27.7 foreign=0.8
03:22:49 total=1.7 bench=1.0 foreign=0.7
03:22:54 total=1.7 bench=1.0 foreign=0.7
03:22:59 total=71.1 bench=70.5 foreign=0.6
03:23:04 total=1.8 bench=1.0 foreign=0.8
03:23:09 total=1.9 bench=1.0 foreign=0.9
03:23:14 total=1.8 bench=1.0 foreign=0.7
03:23:19 total=20.8 bench=20.8 foreign=0.0
03:23:24 total=50.3 bench=48.8 foreign=1.5
03:23:30 total=1.8 bench=1.0 foreign=0.8
03:23:35 total=2.9 bench=2.0 foreign=1.0
03:23:40 total=2.5 bench=1.9 foreign=0.6
03:23:45 total=1.8 bench=1.0 foreign=0.8
03:23:50 total=2.7 bench=1.9 foreign=0.8
03:23:55 total=2.7 bench=2.0 foreign=0.7
03:24:00 total=1.8 bench=1.0 foreign=0.8
03:24:05 total=2.6 bench=1.9 foreign=0.7
03:24:10 total=2.7 bench=2.0 foreign=0.7
03:24:15 total=2.6 bench=2.0 foreign=0.6
03:24:20 total=1.9 bench=1.0 foreign=0.8
03:24:25 total=3.1 bench=2.2 foreign=0.9
03:24:30 total=3.0 bench=2.1 foreign=0.9
03:24:35 total=2.8 bench=2.1 foreign=0.7
03:24:40 total=1.8 bench=1.0 foreign=0.8
